iter	Passed	Remaining
157	327	1747
158	328	1740
159	329	1732
160	330	1724
161	331	1717
162	333	1712
163	334	1706
164	335	1699
165	336	1692
166	337	1685
167	338	1677
168	339	1670
169	340	1664
170	341	1657
171	342	1650
172	343	1643
173	344	1637
174	346	1631
175	347	1625
176	348	1620
177	349	1614
178	350	1609
179	351	1602
180	352	1594
181	353	1588
182	354	1582
183	355	1577
184	356	1572
185	358	1568
186	359	1564
187	361	1560
188	362	1554
189	363	1548
190	364	1542
191	365	1536
192	365	1530
193	366	1524
194	367	1518
195	369	1514
196	370	1510
197	371	1506
198	372	1500
199	373	1495
200	374	1490
201	375	1484
202	376	1479
203	377	1474
204	379	1469
205	379	1464
206	381	1461
207	382	1457
208	383	1452
209	385	1449
210	386	1444
211	387	1440
212	388	1435
213	389	1431
214	390	1426
215	391	1422
216	393	1418
217	394	1414
218	395	1410
219	396	1406
220	397	1402
221	398	1397
222	399	1392
223	400	1387
224	401	1383
225	402	1378
226	403	1374
227	404	1369
228	405	1365
229	406	1361
230	407	1357
231	408	1353
232	410	1350
233	411	1347
234	412	1343
235	413	1340
236	415	1336
237	416	1333
238	417	1330
239	418	1326
240	420	1323
241	421	1319
242	422	1315
243	423	1311
244	424	1307
245	425	1303
246	426	1299
247	427	1296
248	428	1292
249	429	1289
250	431	1287
251	432	1284
252	433	1280
253	434	1277
254	435	1273
255	436	1269
256	437	1266
257	438	1262
258	440	1258
259	441	1256
260	442	1253
261	443	1250
262	445	1247
263	446	1243
264	447	1240
265	448	1236
266	449	1233
267	450	1229
268	450	1225
269	451	1221
270	453	1218
271	454	1215
272	455	1212
273	456	1209
274	457	1206
275	458	1203
276	459	1199
277	460	1196
278	461	1193
279	462	1189
280	463	1186
281	464	1183
282	466	1180
283	467	1178
284	468	1175
285	469	1172
286	470	1168
287	471	1165
288	472	1162
289	473	1159
290	474	1156
291	475	1153
292	476	1150
293	478	1147
294	479	1145
295	480	1142
296	481	1139
297	482	1136
298	483	1133
299	484	1130
300	486	1129
301	487	1126
302	488	1124
303	489	1121
304	490	1118
305	492	1116
306	493	1114
307	494	1111
308	495	1108
309	496	1106
310	498	1103
311	499	1100
312	500	1097
313	501	1095
314	502	1093
315	503	1090
316	505	1088
317	506	1085
318	507	1082
319	508	1080
320	509	1077
321	510	1074
322	511	1072
323	512	1069
324	514	1067
325	515	1065
326	517	1064
327	518	1061
328	519	1058
329	520	1056
330	521	1053
331	522	1051
332	523	1048
333	524	1046
334	525	1044
335	527	1042
336	528	1040
337	529	1037
338	530	1035
339	531	1032
340	532	1029
341	533	1027
342	534	1024
343	536	1022
344	537	1020
345	538	1017
346	539	1015
347	540	1013
348	541	1010
349	542	1007
350	543	1005
351	544	1002
352	545	999
353	546	997
354	547	994
355	548	992
356	549	990
357	551	988
358	552	986
359	553	984
360	554	981
361	555	979
362	556	976
363	557	974
364	558	972
365	559	969
366	561	967
367	562	965
368	563	964
369	565	962
370	566	959
371	567	957
372	568	955
373	569	952
374	570	950
375	571	947
376	572	945
377	573	943
378	574	941
379	576	939
380	577	938
381	578	935
382	579	933
383	580	930
384	581	928
385	581	925
386	582	923
387	583	921
388	584	918
389	586	916
390	587	914
391	588	913
392	589	910
393	590	908
394	591	906
395	592	904
396	593	901
397	594	899
398	595	897
399	597	895
400	598	893
401	599	892
402	600	890
403	602	888
404	603	886
405	604	884
406	605	882
407	606	880
408	607	878
409	608	876
410	610	874
411	611	872
412	612	870
413	613	868
414	614	866
415	615	864
416	616	862
417	617	860
418	618	858
419	620	856
420	621	854
421	622	853
422	624	851
423	625	849
424	626	847
425	627	845
426	628	843
427	629	841
428	630	839
429	632	837
430	633	835
431	634	834
432	635	832
433	636	830
434	638	828
435	639	826
436	640	824
437	641	822
438	642	820
439	643	818
440	644	817
441	645	815
442	646	813
443	647	811
444	649	809
445	650	807
446	651	806
447	652	803
448	653	801
449	654	799
450	655	798
451	656	796
452	657	794
453	658	792
454	660	790
455	661	789
456	662	787
457	663	785
458	665	783
459	666	781
460	667	780
461	668	778
462	669	776
463	670	774
464	671	773
465	673	771
466	674	769
467	675	768
468	676	766
469	677	764
470	678	762
471	679	760
472	681	758
473	682	757
474	683	755
475	684	753
476	685	752
477	687	750
478	688	748
479	689	747
480	690	745
481	691	743
482	692	741
483	693	739
484	695	738
485	696	736
486	698	735
487	699	733
488	700	732
489	701	730
490	702	728
491	703	726
492	704	724
493	706	723
494	707	721
495	708	720
496	710	718
497	725	731
498	726	729
499	738	738
500	739	736
501	740	734
502	741	732
503	743	731
504	744	729
505	745	727
506	749	729
507	752	728
508	753	727
509	754	725
510	756	723
511	757	721
512	758	719
513	759	717
514	760	715
515	761	714
516	762	712
517	764	710
518	765	709
519	766	707
520	767	705
521	768	703
522	769	701
523	770	699
524	771	697
525	771	695
526	772	693
527	773	691
528	774	689
529	775	687
530	776	686
531	777	684
532	779	682
533	780	680
534	780	678
535	781	676
536	782	674
537	783	672
538	784	670
539	785	668
540	786	667
541	787	665
542	788	663
543	789	661
544	791	660
545	792	658
546	792	656
547	793	654
548	794	652
549	795	650
550	796	648
551	797	646
552	798	645
553	798	643
554	800	641
555	801	639
556	802	638
557	803	636
558	804	634
559	805	632
560	806	630
561	806	628
562	807	626
563	808	625
564	809	623
565	810	621
566	811	619
567	812	617
568	813	615
569	814	614
570	815	612
571	816	610
572	817	609
573	818	607
574	819	605
575	819	603
576	820	601
577	821	599
578	822	598
579	823	596
580	824	594
581	825	592
582	826	590
583	827	589
584	828	587
585	829	586
586	830	584
587	831	582
588	832	580
589	833	579
590	834	577
591	835	575
592	836	573
593	837	572
594	838	570
595	839	568
596	840	567
597	841	565
598	842	563
599	843	562
600	844	560
601	845	558
602	845	556
603	846	555
604	847	553
605	848	551
606	849	550
607	850	548
608	852	547
609	852	545
610	854	543
611	855	542
612	855	540
613	856	538
614	857	536
615	858	535
616	859	533
617	860	531
618	860	529
619	861	528
620	862	526
621	863	524
622	865	523
623	866	521
624	867	520
625	868	518
626	868	516
627	869	515
628	870	513
629	871	511
630	872	510
631	873	508
632	874	506
633	875	505
634	876	503
635	877	502
636	878	500
637	879	499
638	880	497
639	881	495
640	882	494
641	883	492
642	884	490
643	885	489
644	886	487
645	886	486
646	887	484
647	889	482
648	890	481
649	892	480
650	892	478
651	893	477
652	894	475
653	895	473
654	896	472
655	897	470
656	897	468
657	898	467
658	899	465
659	900	463
660	901	462
661	902	460
662	903	459
663	905	458
664	906	456
665	906	454
666	907	453
667	908	451
668	909	450
669	910	448
670	911	446
671	912	445
672	913	443
673	914	442
674	915	441
675	917	439
676	918	438
677	919	436
678	919	434
679	920	433
680	921	431
681	922	430
682	923	428
683	925	427
684	926	425
685	927	424
686	928	423
687	930	421
688	931	420
689	932	418
690	933	417
691	934	415
692	935	414
693	935	412
694	936	411
695	937	409
696	938	408
697	940	406
698	941	405
699	942	403
700	943	402
701	944	400
702	945	399
703	946	397
704	946	396
705	947	394
706	948	393
707	949	391
708	950	390
709	951	388
710	952	387
711	954	385
712	955	384
713	956	383
714	957	381
715	958	380
716	959	378
717	960	377
718	961	375
719	961	374
720	962	372
721	963	371
722	964	369
723	965	368
724	966	366
725	968	365
726	969	364
727	970	362
728	971	360
729	971	359
730	972	357
731	973	356
732	974	354
733	975	353
734	976	352
735	977	350
736	978	349
737	979	347
738	980	346
739	981	345
740	982	343
741	983	342
742	984	340
743	985	339
744	986	337
745	987	336
746	987	334
747	988	333
748	989	331
749	991	330
750	992	328
751	993	327
752	994	326
753	995	324
754	996	323
755	997	321
756	998	320
757	998	318
758	999	317
759	1000	315
760	1001	314
761	1002	313
762	1003	311
763	1005	310
764	1006	309
765	1007	307
766	1008	306
767	1009	304
768	1010	303
769	1010	301
770	1011	300
771	1012	299
772	1013	297
773	1014	296
774	1015	294
775	1016	293
776	1018	292
777	1019	290
778	1020	289
779	1021	288
780	1021	286
781	1022	285
782	1023	283
783	1024	282
784	1025	280
785	1026	279
786	1027	278
787	1028	276
788	1029	275
789	1030	273
790	1031	272
791	1032	271
792	1033	269
793	1034	268
794	1035	266
795	1036	265
796	1037	264
797	1038	262
798	1038	261
799	1039	259
800	1040	258
801	1041	257
802	1042	255
803	1043	254
804	1045	253
805	1046	251
806	1046	250
807	1047	248
808	1048	247
809	1049	246
810	1050	244
811	1051	243
812	1052	241
813	1052	240
814	1053	239
815	1054	237
816	1056	236
817	1056	235
818	1058	233
819	1059	232
820	1060	231
821	1060	229
822	1062	228
823	1063	227
824	1064	225
825	1065	224
826	1066	223
827	1067	221
828	1068	220
829	1069	219
830	1070	217
831	1071	216
832	1072	215
833	1073	213
834	1074	212
835	1075	211
836	1076	209
837	1077	208
838	1078	206
839	1079	205
840	1080	204
841	1081	202
842	1083	201
843	1084	200
844	1085	199
845	1085	197
846	1086	196
847	1087	194
848	1088	193
849	1089	192
850	1090	190
851	1091	189
852	1092	188
853	1093	186
854	1094	185
855	1095	184
856	1096	182
857	1097	181
858	1098	180
859	1099	178
860	1100	177
861	1101	176
862	1102	174
863	1103	173
864	1104	172
865	1105	171
866	1106	169
867	1107	168
868	1108	167
869	1109	165
870	1110	164
871	1111	163
872	1112	161
873	1113	160
874	1114	159
875	1115	157
876	1116	156
877	1116	155
878	1117	153
879	1118	152
880	1119	151
881	1121	149
882	1122	148
883	1123	147
884	1123	146
885	1124	144
886	1125	143
887	1126	142
888	1127	140
889	1128	139
890	1129	138
891	1130	136
892	1131	135
893	1132	134
894	1133	133
895	1135	131
896	1136	130
897	1136	129
898	1137	127
899	1138	126
900	1139	125
901	1140	123
902	1141	122
903	1142	121
904	1143	120
905	1144	118
906	1146	117
907	1147	116
908	1148	115
909	1149	113
910	1150	112
911	1151	111
912	1152	109
913	1153	108
914	1154	107
915	1155	105
916	1157	104
917	1158	103
918	1159	102
919	1160	100
920	1161	99
921	1162	98
922	1163	97
923	1165	95
924	1166	94
925	1167	93
926	1168	92
927	1169	90
928	1171	89
929	1172	88
930	1173	86
931	1175	85
932	1176	84
933	1177	83
934	1178	81
935	1179	80
936	1180	79
937	1181	78
938	1182	76
939	1184	75
940	1185	74
941	1187	73
942	1188	71
943	1189	70
944	1190	69
945	1191	68
946	1193	66
947	1194	65
948	1195	64
949	1197	63
950	1198	61
951	1199	60
952	1200	59
953	1201	57
954	1203	56
955	1204	55
956	1205	54
957	1206	52
958	1208	51
959	1209	50
960	1211	49
961	1212	47
962	1213	46
963	1215	45
964	1216	44
965	1217	42
966	1218	41
967	1219	40
968	1220	39
969	1222	37
970	1223	36
971	1225	35
972	1226	34
973	1227	32
974	1228	31
975	1229	30
976	1231	28
977	1232	27
978	1233	26
979	1234	25
980	1235	23
981	1237	22
982	1239	21
983	1240	20
984	1241	18
985	1242	17
986	1243	16
987	1244	15
988	1246	13
989	1252	12
990	1257	11
991	1260	10
992	1262	8
993	1264	7
994	1266	6
995	1268	5
996	1270	3
997	1272	2
998	1273	1
999	1275	0
